Record URL,identifier,curatorialSection,onDisplay,objectName,nativeName,title,creditLine,description,placeName,siteName,culture,cultureArea,locus,period,material,technique,creator,iconography,iconographySubject,inscriptionMarkLanguage,dateMade,earlyDate,lateDate,depth,length,width,height,thickness,weight,outsideDiameter,measurementUnit
https://penn.museum/collections/object/447344,29-96-282A,African,FALSE,Mezuzah,,,"Bequest of Maxwell Sommerville, 1904","Tin Mezuzah with small aperture covered with glass (clear), and with outer hinged covering.",North Africa,,Hebrew,,,,Canvas,,,,,,,,,,7.4,1,,,,,Centimeters/Inches
https://penn.museum/collections/object/447327,29-96-271C,African,Bracelet,,,"Bequest of Maxwell Sommerville, 1904",3 tubular leather covered bracelets. Ends are joined by strip of leather. One of bracelets is damaged revelaing linen or cotton stuffing.,North Africa,,Hebrew,,,,Leather,,,,,,,,,,9.7,1.1,0,,,,Centimeters/Inches
https://penn.museum/collections/object/447295,29-41-266C,American,Figurine,,,"Purchased from H. A. Monday, 1929","4 heads; from vessels, Ozomatli wearing bird helmet","Mexico (Central America),Distrito Federal,San Juan Teotihuacan",,Toltec,Central American,,Toltec II,Terracotta,,,"Head,Ozomatli",,,,,,,,,,,,,
https://penn.museum/collections/object/447260,29-41-243D,American,Figurine,,,"Purchased from H. A. Monday, 1929","4 heads; Tlaloc, bird helmet","Mexico (Central America),Distrito Federal,San Juan Teotihuacan",,Toltec,Central American,,Toltec II,Terracotta,,,"Head,Tlaloc",,,,,,,,,,,,,Centimeters/Inches
https://penn.museum/collections/object/38127,50-2-107,Near Eastern,Flake Fragment,,,"Seven Caves Expedition, Bisitun Cave Iran; Carleton S. Coon, 1950",,"Iran,Kermanshah Province,Bisitun",,,,BOX #39,,Flint,,,,,,,,,,,,,,,,
